,0,1,2,3,4,5
202,125265.0,42464.0,20179.0,6420.0,18631.0,70066.0
203,119520.0,44605.0,16938.0,5727.0,19303.0,75383.0
204,127691.0,43440.0,18295.0,7536.0,18831.0,74904.0
205,119788.0,44338.0,20040.0,5104.0,19351.0,76701.0
206,120928.0,41715.0,21252.0,5638.0,19473.0,75730.0
207,116761.0,46483.0,16320.0,5515.0,19475.0,68342.0
208,117199.0,47693.0,20353.0,4785.0,17718.0,69936.0
209,114029.0,49854.0,20219.0,5766.0,21335.0,73386.0
210,123324.0,43228.0,19392.0,6833.0,18782.0,71206.0
211,110402.0,48729.0,16313.0,7445.0,17420.0,68261.0
212,110700.0,48309.0,15814.0,6614.0,18804.0,68046.0
213,101603.0,49409.0,17060.0,7686.0,17221.0,61652.0
214,115466.0,53953.0,17366.0,7248.0,17458.0,68156.0
215,110524.0,51728.0,14581.0,6222.0,20339.0,60815.0
216,102238.0,55582.0,16299.0,5760.0,15184.0,64188.0
217,98939.0,56370.0,15102.0,6176.0,16543.0,64657.0
218,96017.0,50322.0,13019.0,5095.0,16010.0,58063.0
219,101960.0,56301.0,13317.0,4824.0,14372.0,60867.0
220,98123.0,57196.0,14478.0,4889.0,15009.0,57241.0
221,94163.0,56717.0,12157.0,6872.0,13079.0,56988.0
222,96720.0,57646.0,11751.0,6082.0,13926.0,55136.0
223,88510.0,58368.0,11946.0,6234.0,12923.0,57946.0
224,89866.258,56653.484,10873.72,4434.0,14736.706,55309.008
225,89873.0,64737.0,11931.0,3615.0,15770.0,57377.0
226,87959.0,61476.0,11239.0,3373.0,13742.0,49687.0
227,81797.0,64883.0,12159.0,4474.0,12602.0,54060.0
228,87372.0,62217.0,11962.0,4862.0,11848.0,55078.0
229,79841.0,59421.0,10574.0,4243.0,12560.0,52889.0
230,78935.0,63784.0,9398.0,5306.0,12340.0,52832.0
231,78122.0,63973.0,10235.0,4215.0,12820.0,51197.0
232,79864.0,66284.0,8570.0,4553.0,10601.0,51058.0
233,78441.0,66590.0,8598.0,3169.0,10773.0,54117.0
234,76464.0,64098.0,7934.0,3118.0,9216.0,52485.0
235,71642.0,67122.0,7231.0,3401.0,11858.0,49735.0
236,65862.0,68822.0,7234.0,3122.0,9715.0,54367.0
237,70479.0,69569.0,7069.0,3737.0,10709.0,50948.0
238,69163.0,68483.0,6709.0,4045.0,7371.0,53912.0
239,70673.0,66904.0,7160.0,3428.0,8641.0,47748.0
240,62007.0,64772.0,6091.0,2655.0,8648.0,51008.0
241,58697.0,69097.0,6321.0,2670.0,8089.0,49002.0
242,59802.0,70103.0,5645.0,2343.0,6705.0,47081.0
243,60133.0,66913.0,5969.0,2357.0,6485.0,51933.0
244,61570.0,71096.0,5988.0,2617.0,5903.0,53064.0
245,58146.0,70106.0,6938.0,2989.0,5678.0,48384.0
246,58102.0,65657.0,5318.0,2835.0,6669.0,50450.0
247,54080.0,67240.0,4580.0,2764.0,5643.0,51021.0
248,55902.0,67393.0,4852.0,2585.0,5404.0,55086.0
249,54518.0,68677.0,4213.0,2421.0,6089.0,49722.0
250,55048.0,69439.0,4331.0,2288.0,5611.0,49031.0
251,54868.0,66650.0,4793.0,2102.0,4250.0,50735.0
252,51443.0,64629.0,3927.0,1737.0,4086.0,49896.0
253,53152.0,66189.0,4393.0,1830.0,4072.0,49406.0
254,49847.0,63647.0,4297.0,1532.0,3873.0,54056.0
255,47253.0,62998.0,4412.0,1403.0,4206.0,53407.0
256,46182.0,64100.0,3546.0,1243.0,4168.0,55252.0
257,46993.688,64223.494,3362.671,1352.839,3786.495,52219.283
258,51046.617,60558.569,2981.221,1327.55,3699.977,53273.976
259,46760.0,62109.0,2809.0,1419.0,2287.0,55757.0
260,48722.0,61599.0,3042.0,1198.0,2426.0,53412.0
261,45530.0,59664.0,3470.0,996.0,2424.0,53615.0
262,44936.0,59625.0,2456.0,839.0,2913.0,54808.0
263,43693.0,60212.0,2923.0,580.0,2480.0,56433.0
264,41847.0,57549.0,2836.0,645.0,2115.0,54894.0
265,44245.0,56779.0,2459.0,694.0,2015.0,54358.0
266,42949.0,55651.0,2791.0,880.0,2053.0,51942.0
267,41310.0,55045.0,2388.0,785.0,2341.0,53499.0
268,42345.0,54713.0,2404.0,785.0,2092.0,55654.0
269,42824.0,55226.0,2139.0,861.0,1755.0,56555.0
270,37743.0,52116.0,2362.0,785.0,1730.0,58950.0
271,38383.0,52904.0,2108.0,580.0,1443.0,55081.0
272,36512.0,53565.0,2479.0,577.0,1552.0,56596.0
273,35208.0,51313.0,2428.0,614.0,1062.0,57535.0
274,39825.0,50940.0,2284.0,549.0,952.0,55344.0
275,34725.0,48402.0,2195.0,519.0,840.0,55222.0
276,34551.0,48495.0,1898.0,611.0,730.0,56000.0
277,35008.576,47420.258,1880.944,603.811,528.366,56082.667
278,35028.414,49951.265,1658.172,440.198,569.919,55145.84
279,34206.0,46144.0,1850.0,478.0,608.0,57418.0
280,31774.0,47329.0,1754.0,465.0,654.0,56616.0
281,32532.0,45538.0,1593.0,395.0,615.0,55455.0
282,32415.28,46134.092,1942.376,429.04,547.764,54225.42
283,33507.0,47861.0,2128.0,542.0,489.0,57559.0
284,32188.0,42981.0,1546.0,316.0,615.0,53876.0
285,30569.0,42709.0,1316.0,312.0,512.0,56439.0
286,31594.41,42046.12,1728.24,335.84,557.41,56021.69
287,31455.0,43445.0,1699.0,376.0,515.0,55259.0
288,29870.0,43837.0,1432.0,350.0,473.0,54443.0
289,28257.0,42745.0,1184.0,496.0,389.0,55615.0
290,30427.0,42451.0,1244.0,484.0,245.0,57514.0
291,27765.776,41359.6,1609.904,505.4,394.96,56437.12
292,27081.0,44585.0,1377.0,485.0,315.0,53985.0
293,26889.0,39824.0,1543.0,381.0,257.0,54659.0
294,26229.0,40101.0,1458.0,353.0,315.0,54678.0
295,26136.0,40625.0,1118.0,254.0,276.0,55277.0
296,24467.214,39109.505,1137.931,272.613,228.286,53946.635
297,26489.542,38392.618,1005.38,243.921,269.563,54327.875
298,25863.0,42320.0,1203.0,242.0,223.0,54892.0
299,24204.0,40091.0,1196.0,164.0,191.0,53476.0
300,23023.574,40056.005,965.119,154.215,162.62,52814.871
301,23526.0,38878.0,1085.0,139.0,236.0,52391.0
302,21955.0,38912.0,949.0,135.0,217.0,52349.0
303,22346.0,40263.0,910.0,158.0,266.0,53834.0
304,22368.0,37663.0,860.0,177.0,149.0,50674.0
305,21911.0,39322.0,899.0,200.0,215.0,52250.0
306,22378.0,38592.0,842.0,180.0,165.0,50467.0
307,20526.0,38959.0,891.0,152.0,158.0,51283.0
308,20826.324,39273.287,955.702,160.886,167.506,50738.578
309,20387.973,40059.788,1158.292,142.099,157.439,51434.164
310,20262.88,40150.504,1050.256,166.392,207.496,50470.96
311,19765.0,38912.0,971.0,102.0,112.0,48572.0
312,20484.83,38659.022,1013.114,136.762,70.504,51596.098
313,17958.0,40347.0,861.0,71.0,70.0,48557.0
314,17996.0,39399.0,707.0,44.0,52.0,51552.0
315,17410.131,36999.342,736.309,48.044,80.548,51313.311
316,18313.0,38924.0,677.0,55.0,61.0,51758.0
317,17583.0,39524.0,674.0,63.0,68.0,52041.0
318,17609.884,40303.902,717.784,50.557,43.481,51000.294
319,16744.0,38607.0,792.0,41.0,71.0,48744.0
320,16019.0,40862.0,841.0,54.0,55.0,50691.0
321,16555.0,40061.0,729.0,81.0,57.0,49011.0
322,14863.0,38611.0,688.0,52.0,99.0,50502.0
323,15389.0,40300.0,780.0,55.0,97.0,49535.0
324,15458.0,40016.0,793.0,59.0,78.0,48775.0
325,14645.0,39355.0,865.0,60.0,136.0,50583.0
326,14302.0,39309.0,633.0,46.0,177.0,49562.0
327,14284.294,38835.377,586.84,46.146,148.89,49163.335
328,14236.654,40549.976,426.437,86.723,101.311,50612.36
329,14342.0,40081.0,605.0,71.0,92.0,47657.0
330,12809.0,39624.0,471.0,62.0,69.0,50049.0
331,12925.0,42148.0,535.0,40.0,69.0,50434.0
332,12664.0,42641.0,726.0,45.0,70.0,49745.0
333,12388.467,40995.57,627.203,55.581,76.568,51397.52
334,12025.0,41036.0,412.0,58.0,94.0,51225.0
335,12193.24,41877.718,666.452,37.018,92.026,52379.73
336,11783.0,40795.0,514.0,47.0,88.0,49109.0
337,11497.485,41007.155,538.405,50.487,103.117,50483.34
338,11308.0,42966.0,465.0,46.0,122.0,49912.0
339,10961.0,41965.0,540.0,32.0,128.0,49613.0
340,10488.0,43171.0,451.0,51.0,128.0,48880.0
341,10937.106,42496.648,500.366,48.976,87.746,51223.274
342,10776.0,43265.0,407.0,41.0,103.0,50839.0
